Datum;Zeit;Eröffnung;Hoch;Tief;Schluss;Volumen
06.03.2019;17:35:00;8,172;8,172;8,172;8,172;2.361.762,00
06.03.2019;17:30:00;8,169;8,169;8,169;8,169;8
06.03.2019;17:25:00;8,163;8,168;8,158;8,168;118.297,00
06.03.2019;17:20:00;8,166;8,168;8,153;8,161;164.003,00
06.03.2019;17:15:00;8,177;8,18;8,162;8,164;121.349,00
06.03.2019;17:10:00;8,167;8,177;8,165;8,177;68.496,00
06.03.2019;17:05:00;8,139;8,17;8,139;8,17;127.886,00
06.03.2019;17:00:00;8,146;8,157;8,137;8,14;97.043,00
06.03.2019;16:55:00;8,149;8,161;8,147;8,147;72.660,00
06.03.2019;16:50:00;8,139;8,152;8,134;8,15;105.801,00
06.03.2019;16:45:00;8,157;8,158;8,127;8,14;167.391,00
06.03.2019;16:40:00;8,139;8,157;8,133;8,157;89.482,00
06.03.2019;16:35:00;8,132;8,143;8,126;8,143;71.018,00
06.03.2019;16:30:00;8,145;8,155;8,13;8,132;108.653,00
06.03.2019;16:25:00;8,146;8,152;8,144;8,146;62.367,00
06.03.2019;16:20:00;8,147;8,15;8,139;8,144;54.148,00
06.03.2019;16:15:00;8,143;8,152;8,136;8,148;50.449,00
06.03.2019;16:10:00;8,147;8,147;8,13;8,143;79.510,00
06.03.2019;16:05:00;8,13;8,148;8,125;8,148;44.922,00
06.03.2019;16:00:00;8,127;8,133;8,12;8,132;27.791,00
06.03.2019;15:55:00;8,136;8,149;8,124;8,13;78.474,00
06.03.2019;15:50:00;8,176;8,176;8,131;8,137;129.961,00
06.03.2019;15:45:00;8,16;8,182;8,16;8,176;81.519,00
06.03.2019;15:40:00;8,188;8,19;8,148;8,157;254.536,00
06.03.2019;15:35:00;8,17;8,197;8,167;8,187;78.020,00
06.03.2019;15:30:00;8,173;8,18;8,15;8,173;125.477,00
06.03.2019;15:25:00;8,18;8,189;8,168;8,174;88.592,00
06.03.2019;15:20:00;8,203;8,208;8,174;8,18;144.759,00
06.03.2019;15:15:00;8,213;8,213;8,194;8,201;111.288,00
06.03.2019;15:10:00;8,209;8,231;8,209;8,216;118.817,00
06.03.2019;15:05:00;8,248;8,249;8,208;8,208;133.579,00
06.03.2019;15:00:00;8,233;8,244;8,226;8,24;96.040,00
06.03.2019;14:55:00;8,236;8,242;8,22;8,226;78.038,00
06.03.2019;14:50:00;8,19;8,236;8,187;8,235;161.417,00
