"Datum";"Zeit";"Er�ffnung";"Hoch";"Tief";"Schluss";"Volumen"
"01.03.2019";"13:55";"120,30";"120,40";"120,30";"120,30";"1.221,00"
"01.03.2019";"13:50";"120,25";"120,50";"120,20";"120,35";"10.687,00"
"01.03.2019";"13:45";"120,35";"120,45";"120,25";"120,35";"3.913,00"
"01.03.2019";"13:40";"120,60";"120,65";"120,30";"120,40";"11.389,00"
"01.03.2019";"13:35";"120,65";"120,70";"120,60";"120,70";"678,00"
"01.03.2019";"13:31";"120,60";"120,70";"120,60";"120,70";"2.532,00"
"01.03.2019";"13:25";"120,65";"120,75";"120,60";"120,60";"3.904,00"
"01.03.2019";"13:20";"120,75";"120,75";"120,60";"120,70";"1.895,00"
"01.03.2019";"13:15";"120,65";"120,75";"120,65";"120,65";"3.713,00"
"01.03.2019";"13:10";"120,65";"120,70";"120,50";"120,70";"3.591,00"
"01.03.2019";"13:05";"120,85";"120,85";"120,60";"120,65";"3.858,00"
"01.03.2019";"13:02";"120,80";"120,85";"120,75";"120,75";"8.873,00"
"01.03.2019";"12:55";"120,90";"121,05";"120,90";"121,00";"2.803,00"
"01.03.2019";"12:50";"120,95";"120,95";"120,65";"120,90";"5.455,00"
"01.03.2019";"12:45";"121,10";"121,10";"120,80";"120,90";"1.990,00"
"01.03.2019";"12:40";"121,15";"121,15";"120,95";"121,00";"2.098,00"
"01.03.2019";"12:35";"121,10";"121,20";"121,05";"121,20";"3.872,00"
"01.03.2019";"12:30";"121,25";"121,30";"121,05";"121,10";"1.337,00"
"01.03.2019";"12:25";"121,20";"121,30";"121,15";"121,30";"1.139,00"
"01.03.2019";"12:21";"120,90";"121,50";"120,90";"121,25";"9.167,00"
"01.03.2019";"12:15";"120,90";"120,95";"120,85";"120,85";"4.311,00"
"01.03.2019";"12:10";"120,70";"120,90";"120,60";"120,85";"4.192,00"
"01.03.2019";"12:06";"120,60";"120,70";"120,55";"120,65";"3.639,00"
"01.03.2019";"12:01";"120,50";"120,65";"120,50";"120,60";"2.346,00"
"01.03.2019";"11:55";"120,60";"120,65";"120,55";"120,60";"2.311,00"
"01.03.2019";"11:50";"120,50";"120,60";"120,50";"120,50";"2.164,00"
"01.03.2019";"11:45";"120,50";"120,55";"120,40";"120,55";"2.775,00"
"01.03.2019";"11:40";"120,50";"120,55";"120,40";"120,40";"2.357,00"
"01.03.2019";"11:35";"120,50";"120,55";"120,40";"120,50";"3.126,00"
"01.03.2019";"11:30";"120,55";"120,60";"120,40";"120,40";"4.877,00"
"01.03.2019";"11:25";"120,65";"120,75";"120,60";"120,60";"2.542,00"
"01.03.2019";"11:20";"120,25";"120,75";"120,20";"120,70";"5.463,00"
"01.03.2019";"11:15";"120,65";"120,80";"120,25";"120,25";"9.942,00"
"01.03.2019";"11:10";"120,80";"120,85";"120,50";"120,75";"12.330,00"
"01.03.2019";"11:05";"120,90";"120,90";"120,65";"120,75";"4.000,00"
"01.03.2019";"11:00";"121,05";"121,20";"120,75";"120,90";"12.390,00"
"01.03.2019";"10:55";"121,25";"121,30";"121,10";"121,10";"3.597,00"
"01.03.2019";"10:50";"121,25";"121,30";"121,20";"121,25";"2.871,00"
"01.03.2019";"10:45";"121,20";"121,30";"121,20";"121,25";"1.076,00"
"01.03.2019";"10:40";"121,20";"121,30";"121,15";"121,30";"2.508,00"
"01.03.2019";"10:35";"121,30";"121,35";"121,15";"121,25";"3.904,00"
"01.03.2019";"10:30";"121,40";"121,50";"121,25";"121,25";"3.203,00"
"01.03.2019";"10:25";"121,35";"121,50";"121,30";"121,35";"7.517,00"
"01.03.2019";"10:20";"121,10";"121,40";"121,00";"121,35";"6.330,00"
"01.03.2019";"10:15";"121,20";"121,25";"121,10";"121,10";"2.353,00"
"01.03.2019";"10:10";"121,25";"121,35";"121,05";"121,20";"8.473,00"
"01.03.2019";"10:05";"121,25";"121,30";"121,10";"121,25";"5.580,00"
"01.03.2019";"10:00";"121,25";"121,35";"121,15";"121,20";"2.779,00"
"01.03.2019";"09:55";"121,30";"121,35";"121,20";"121,25";"1.019,00"
