"Datum";"Zeit";"Er�ffnung";"Hoch";"Tief";"Schluss";"Volumen"
"28.02.2019";"14:10";"118,30";"118,40";"118,00";"118,20";"3.770,00"
"28.02.2019";"14:05";"118,35";"118,40";"118,35";"118,35";"1.060,00"
"28.02.2019";"14:00";"118,35";"118,40";"118,25";"118,40";"484,00"
"28.02.2019";"13:55";"118,40";"118,40";"118,25";"118,35";"614,00"
"28.02.2019";"13:50";"118,30";"118,40";"118,30";"118,40";"896,00"
"28.02.2019";"13:45";"118,25";"118,45";"118,25";"118,35";"4.803,00"
"28.02.2019";"13:40";"118,35";"118,35";"118,25";"118,25";"821,00"
"28.02.2019";"13:35";"118,25";"118,35";"118,20";"118,35";"473,00"
"28.02.2019";"13:30";"118,30";"118,35";"118,15";"118,30";"1.150,00"
"28.02.2019";"13:25";"118,40";"118,40";"118,25";"118,25";"1.583,00"
"28.02.2019";"13:20";"118,45";"118,50";"118,35";"118,40";"2.409,00"
"28.02.2019";"13:15";"118,35";"118,45";"118,30";"118,45";"4.061,00"
"28.02.2019";"13:10";"118,35";"118,35";"118,30";"118,35";"567,00"
"28.02.2019";"13:05";"118,35";"118,40";"118,25";"118,25";"2.108,00"
"28.02.2019";"13:02";"118,45";"118,50";"118,35";"118,40";"3.458,00"
"28.02.2019";"12:55";"118,45";"118,50";"118,45";"118,45";"1.133,00"
"28.02.2019";"12:51";"118,45";"118,50";"118,45";"118,50";"59,00"
"28.02.2019";"12:45";"118,30";"118,45";"118,20";"118,45";"3.327,00"
"28.02.2019";"12:40";"118,25";"118,35";"118,25";"118,35";"1.081,00"
"28.02.2019";"12:35";"118,30";"118,35";"118,15";"118,25";"4.471,00"
"28.02.2019";"12:30";"118,30";"118,45";"118,15";"118,15";"5.553,00"
"28.02.2019";"12:25";"118,25";"118,25";"117,95";"118,25";"4.619,00"
"28.02.2019";"12:20";"118,35";"118,35";"118,15";"118,15";"1.943,00"
"28.02.2019";"12:15";"118,50";"118,60";"118,35";"118,45";"5.774,00"
"28.02.2019";"12:10";"118,20";"118,55";"118,20";"118,55";"6.132,00"
"28.02.2019";"12:05";"118,00";"118,15";"117,90";"118,15";"1.288,00"
"28.02.2019";"12:02";"117,90";"118,00";"117,85";"117,90";"7.795,00"
"28.02.2019";"11:55";"117,90";"118,00";"117,90";"117,90";"2.715,00"
