"Datum";"Zeit";"Er�ffnung";"Hoch";"Tief";"Schluss";"Volumen"
"05.03.2019";"13:25";"115,65";"115,90";"115,65";"115,90";"2.228,00"
"05.03.2019";"13:20";"115,65";"115,75";"115,65";"115,70";"3.315,00"
"05.03.2019";"13:15";"115,65";"115,65";"115,60";"115,60";"425,00"
"05.03.2019";"13:10";"115,65";"115,65";"115,55";"115,65";"1.319,00"
"05.03.2019";"13:06";"115,60";"115,65";"115,55";"115,65";"3.541,00"
"05.03.2019";"13:02";"115,65";"115,65";"115,60";"115,60";"1.243,00"
"05.03.2019";"12:55";"115,70";"115,70";"115,55";"115,60";"5.637,00"
"05.03.2019";"12:50";"115,65";"115,70";"115,65";"115,65";"1.046,00"
"05.03.2019";"12:45";"115,60";"115,70";"115,50";"115,70";"2.515,00"
"05.03.2019";"12:40";"115,60";"115,65";"115,45";"115,55";"5.763,00"
"05.03.2019";"12:35";"115,45";"115,65";"115,40";"115,55";"1.750,00"
"05.03.2019";"12:30";"115,50";"115,70";"115,40";"115,45";"5.939,00"
"05.03.2019";"12:25";"115,40";"115,50";"115,40";"115,50";"586,00"
"05.03.2019";"12:21";"115,30";"115,50";"115,30";"115,45";"2.860,00"
"05.03.2019";"12:15";"115,40";"115,50";"115,30";"115,40";"1.830,00"
"05.03.2019";"12:10";"115,30";"115,45";"115,20";"115,40";"3.795,00"
"05.03.2019";"12:05";"115,55";"115,55";"115,30";"115,35";"5.743,00"
"05.03.2019";"12:00";"115,50";"115,65";"115,50";"115,50";"4.639,00"
"05.03.2019";"11:55";"115,35";"115,60";"115,30";"115,50";"7.063,00"
"05.03.2019";"11:50";"115,45";"115,55";"115,35";"115,35";"2.927,00"
"05.03.2019";"11:45";"115,60";"115,65";"115,00";"115,45";"19.859,00"
"05.03.2019";"11:40";"115,55";"115,70";"115,40";"115,60";"5.794,00"
"05.03.2019";"11:35";"115,85";"115,85";"115,45";"115,55";"4.257,00"
"05.03.2019";"11:30";"115,85";"115,90";"115,75";"115,80";"1.227,00"
"05.03.2019";"11:25";"115,90";"116,10";"115,80";"115,85";"972,00"
"05.03.2019";"11:20";"115,75";"116,05";"115,70";"115,85";"1.389,00"
"05.03.2019";"11:15";"116,00";"116,10";"115,50";"115,75";"8.543,00"
"05.03.2019";"11:10";"116,35";"116,45";"115,90";"115,90";"2.718,00"
"05.03.2019";"11:05";"116,40";"116,55";"116,05";"116,45";"3.728,00"
"05.03.2019";"11:00";"116,30";"116,50";"115,75";"116,40";"6.358,00"
"05.03.2019";"10:55";"115,90";"116,40";"115,30";"116,40";"9.296,00"
"05.03.2019";"10:50";"115,55";"115,95";"115,20";"115,90";"16.851,00"
"05.03.2019";"10:45";"116,20";"116,35";"115,20";"115,50";"15.255,00"
"05.03.2019";"10:40";"116,65";"116,65";"115,65";"116,10";"16.993,00"
"05.03.2019";"10:35";"116,65";"116,85";"116,60";"116,80";"1.633,00"
"05.03.2019";"10:30";"116,80";"116,95";"116,65";"116,70";"2.493,00"
"05.03.2019";"10:25";"116,90";"116,95";"116,30";"116,85";"8.462,00"
"05.03.2019";"10:20";"117,15";"117,20";"116,85";"116,85";"7.817,00"
"05.03.2019";"10:15";"117,20";"117,35";"117,05";"117,25";"5.711,00"
"05.03.2019";"10:10";"117,10";"117,20";"117,00";"117,20";"8.281,00"
"05.03.2019";"10:05";"117,00";"117,10";"117,00";"117,10";"8.682,00"
"05.03.2019";"10:00";"117,10";"117,15";"116,95";"117,00";"4.289,00"
"05.03.2019";"09:55";"117,00";"117,20";"116,95";"117,20";"4.469,00"
"05.03.2019";"09:50";"117,10";"117,35";"117,00";"117,05";"4.393,00"
"05.03.2019";"09:45";"116,85";"117,15";"116,65";"117,10";"6.306,00"
"05.03.2019";"09:40";"117,45";"117,45";"116,30";"116,90";"29.184,00"
