"iShares Developed Markets Property Yield UCITS ETF - USD DIS(WKN: A0LEW8 B�rse: Xetra)"

"Datum";"Zeit";"Kurszusatz";"Kurs";"Volumen"
"21.03.2019";"09:04:14";"";"23,4150";"150"
"21.03.2019";"09:04:13";"";"23,4150";"0"
"20.03.2019";"17:36:19";"";"23,4450";"0"
"20.03.2019";"17:17:27";"";"23,4600";"188"
"20.03.2019";"17:00:55";"";"23,4250";"29"
"20.03.2019";"17:00:54";"";"23,4300";"1.909"
"20.03.2019";"16:24:41";"";"23,4300";"1.079"
"20.03.2019";"16:11:18";"";"23,4250";"21"
"20.03.2019";"15:46:21";"";"23,4250";"612"
"20.03.2019";"15:46:21";"";"23,4200";"188"
"20.03.2019";"15:38:18";"";"23,3850";"2.068"
"20.03.2019";"15:38:18";"";"23,3900";"3.204"
"20.03.2019";"15:38:18";"";"23,3950";"2.098"
"20.03.2019";"15:36:04";"";"23,3950";"1"
"20.03.2019";"15:29:37";"";"23,4250";"762"
"20.03.2019";"15:29:37";"";"23,4200";"188"
"20.03.2019";"14:30:38";"";"23,5000";"10"
"20.03.2019";"14:22:25";"";"23,5050";"560"
"20.03.2019";"14:19:22";"";"23,5200";"170"
"20.03.2019";"14:00:46";"";"23,5050";"603"
"20.03.2019";"13:21:07";"";"23,5250";"136"
"20.03.2019";"13:12:14";"";"23,5100";"0"
"20.03.2019";"10:31:00";"";"23,5500";"187"
"20.03.2019";"10:21:47";"";"23,5700";"6"
"20.03.2019";"10:20:06";"";"23,5750";"955"
"20.03.2019";"10:20:06";"";"23,5650";"187"
"20.03.2019";"09:23:08";"";"23,5500";"4"
"20.03.2019";"09:04:01";"";"23,5550";"67"
"20.03.2019";"09:04:00";"";"23,5550";"0"
"19.03.2019";"17:36:08";"";"23,5750";"0"
"19.03.2019";"17:19:30";"";"23,5950";"28"
"19.03.2019";"17:11:44";"";"23,6050";"3"
