"iShares Developed Markets Property Yield UCITS ETF - USD DIS(WKN: A0LEW8 B�rse: Xetra)"

"Datum";"Zeit";"Kurszusatz";"Kurs";"Volumen"
"22.03.2019";"13:15:00";"";"23,8950";"6.583"
"22.03.2019";"13:12:08";"";"23,8950";"761"
"22.03.2019";"13:12:08";"";"23,9000";"441"
"22.03.2019";"13:12:08";"";"23,9000";"320"
"22.03.2019";"12:57:03";"";"23,9000";"8.000"
"22.03.2019";"12:42:31";"";"23,9050";"4.233"
"22.03.2019";"12:42:29";"";"23,9050";"200"
"22.03.2019";"12:42:29";"";"23,9050";"200"
"22.03.2019";"12:41:51";"";"23,9050";"199"
"22.03.2019";"12:41:51";"";"23,9050";"3.168"
"22.03.2019";"12:24:22";"";"23,8950";"183"
"22.03.2019";"12:24:22";"";"23,8900";"185"
"22.03.2019";"11:46:50";"";"23,8850";"628"
"22.03.2019";"11:43:52";"";"23,8600";"85"
"22.03.2019";"11:37:30";"";"23,8800";"44"
"22.03.2019";"11:33:08";"";"23,8850";"100"
"22.03.2019";"11:23:11";"";"23,8800";"9"
"22.03.2019";"10:52:00";"";"23,9050";"185"
"22.03.2019";"10:35:39";"";"23,9100";"355"
"22.03.2019";"10:35:39";"";"23,9000";"185"
"22.03.2019";"10:14:17";"";"23,8900";"969"
"22.03.2019";"10:05:37";"";"23,8900";"946"
"22.03.2019";"10:05:37";"";"23,8900";"185"
"22.03.2019";"10:01:23";"";"23,9050";"216"
"22.03.2019";"09:56:12";"";"23,9050";"261"
"22.03.2019";"09:49:48";"";"23,9250";"68"
"22.03.2019";"09:43:30";"";"23,8550";"73"
"22.03.2019";"09:42:40";"";"23,8550";"74"
"22.03.2019";"09:35:37";"";"23,8600";"270"
"22.03.2019";"09:35:37";"";"23,8650";"185"
"22.03.2019";"09:33:25";"";"23,8650";"148"
"22.03.2019";"09:29:00";"";"23,8150";"543"
"22.03.2019";"09:15:18";"";"23,8500";"3"
"22.03.2019";"09:07:56";"";"23,8100";"40"
"22.03.2019";"09:04:58";"";"23,7700";"36"
"22.03.2019";"09:04:27";"";"23,7750";"0"
"22.03.2019";"09:04:26";"";"23,7750";"0"
"21.03.2019";"17:36:24";"";"23,7700";"0"
"21.03.2019";"17:19:30";"";"23,8050";"1.228"
"21.03.2019";"16:44:11";"";"23,7900";"235"
"21.03.2019";"16:44:11";"";"23,7800";"186"
"21.03.2019";"16:38:00";"";"23,7600";"9"
"21.03.2019";"15:33:04";"";"23,6550";"187"
"21.03.2019";"15:14:20";"";"23,6200";"106"
"21.03.2019";"14:59:43";"";"23,5850";"187"
"21.03.2019";"14:21:13";"";"23,4500";"298"
"21.03.2019";"14:21:13";"";"23,4550";"188"
"21.03.2019";"13:37:18";"";"23,4600";"2.803"
"21.03.2019";"13:14:08";"";"23,4900";"148"
"21.03.2019";"13:12:09";"";"23,4450";"0"
"21.03.2019";"12:45:51";"";"23,5100";"1.003"
"21.03.2019";"12:45:51";"";"23,5000";"1.059"
"21.03.2019";"12:45:51";"";"23,4850";"188"
"21.03.2019";"12:01:26";"";"23,5000";"188"
"21.03.2019";"11:36:54";"";"23,4800";"188"
"21.03.2019";"11:34:09";"";"23,4800";"188"
"21.03.2019";"11:29:31";"";"23,4700";"188"
"21.03.2019";"11:12:08";"";"23,4450";"188"
"21.03.2019";"11:12:05";"";"23,4350";"6"
"21.03.2019";"11:06:39";"";"23,4400";"20"
"21.03.2019";"10:59:36";"";"23,4400";"76"
"21.03.2019";"10:43:26";"";"23,4850";"237"
"21.03.2019";"10:43:26";"";"23,4750";"188"
"21.03.2019";"10:42:06";"";"23,4700";"116"
"21.03.2019";"09:26:11";"";"23,4400";"4.300"
"21.03.2019";"09:25:25";"";"23,4400";"1.375"
"21.03.2019";"09:10:19";"";"23,4250";"97"
"21.03.2019";"09:05:52";"";"23,4200";"25.000"
"21.03.2019";"09:05:52";"";"23,4200";"25.005"
