"iShares Developed Markets Property Yield UCITS ETF - USD DIS(WKN: A0LEW8 B�rse: Xetra)"

"Datum";"Zeit";"Kurszusatz";"Kurs";"Volumen"
"26.03.2019";"17:36:03";"";"23,9950";"0"
"26.03.2019";"17:29:45";"";"24,0000";"172"
"26.03.2019";"17:20:00";"";"24,0200";"184"
"26.03.2019";"16:04:37";"";"24,0500";"625"
"26.03.2019";"15:43:14";"";"24,0300";"1.627"
"26.03.2019";"14:57:15";"";"24,0250";"85"
"26.03.2019";"14:46:53";"";"24,0450";"96"
"26.03.2019";"14:46:53";"";"24,0300";"187"
"26.03.2019";"14:42:27";"";"24,0300";"63"
"26.03.2019";"14:36:59";"";"24,0000";"37"
"26.03.2019";"14:36:53";"";"24,0000";"263"
"26.03.2019";"13:49:05";"";"23,9650";"263"
"26.03.2019";"13:48:38";"";"23,9650";"657"
"26.03.2019";"13:24:25";"";"23,9500";"657"
"26.03.2019";"13:15:00";"";"23,9450";"148"
"26.03.2019";"13:15:00";"";"23,9450";"980"
"26.03.2019";"13:14:55";"";"23,9450";"132"
"26.03.2019";"13:12:13";"";"23,9400";"0"
"26.03.2019";"12:22:52";"";"23,9250";"260"
"26.03.2019";"11:30:20";"";"23,9000";"83"
"26.03.2019";"11:14:45";"";"23,9000";"210"
"26.03.2019";"10:12:39";"";"23,8950";"350"
"26.03.2019";"10:08:47";"";"23,8950";"100"
"26.03.2019";"09:47:35";"";"23,8800";"185"
"26.03.2019";"09:43:07";"";"23,8950";"427"
"26.03.2019";"09:41:35";"";"23,8850";"185"
"26.03.2019";"09:19:55";"";"23,8800";"1"
"26.03.2019";"09:12:44";"";"23,8850";"185"
"26.03.2019";"09:11:08";"";"23,8850";"1.328"
"26.03.2019";"09:10:44";"";"23,8750";"185"
"26.03.2019";"09:10:24";"";"23,8750";"185"
"26.03.2019";"09:07:20";"";"23,8550";"188"
"26.03.2019";"09:07:20";"";"23,8550";"689"
"26.03.2019";"09:06:57";"";"23,8550";"876"
"26.03.2019";"09:06:33";"";"23,8550";"336"
"26.03.2019";"09:06:33";"";"23,8550";"536"
"26.03.2019";"09:05:47";"";"23,8550";"887"
"26.03.2019";"09:04:06";"";"23,8750";"41"
"26.03.2019";"09:04:05";"";"23,8750";"0"
"25.03.2019";"17:36:25";"";"23,8500";"0"
"25.03.2019";"17:23:36";"";"23,8700";"21"
"25.03.2019";"17:20:00";"";"23,8650";"185"
"25.03.2019";"17:14:11";"";"23,8450";"33"
"25.03.2019";"16:56:22";"";"23,8250";"23"
"25.03.2019";"16:26:04";"";"23,8350";"185"
"25.03.2019";"16:22:24";"";"23,8350";"1.317"
"25.03.2019";"16:22:24";"";"23,8250";"185"
"25.03.2019";"16:22:01";"";"23,8500";"162"
"25.03.2019";"16:17:15";"";"23,8250";"50.018"
"25.03.2019";"16:14:56";"";"23,8150";"39"
"25.03.2019";"15:37:27";"";"23,7400";"1"
"25.03.2019";"15:36:10";"";"23,7550";"691"
"25.03.2019";"15:31:12";"";"23,7450";"865"
"25.03.2019";"15:07:23";"";"23,7650";"125"
"25.03.2019";"15:01:59";"";"23,7550";"532"
"25.03.2019";"14:46:12";"";"23,7700";"210"
"25.03.2019";"13:45:01";"";"23,7900";"839"
"25.03.2019";"13:44:56";"";"23,7900";"3.304"
"25.03.2019";"13:44:50";"";"23,7900";"2.976"
"25.03.2019";"13:12:28";"";"23,7750";"0"
"25.03.2019";"12:03:43";"";"23,7950";"1.703"
"25.03.2019";"12:03:43";"";"23,7950";"185"
"25.03.2019";"12:03:32";"";"23,7950";"1.489"
"25.03.2019";"12:03:32";"";"23,7950";"399"
"25.03.2019";"11:51:59";"";"23,8050";"500"
"25.03.2019";"11:50:04";"";"23,8100";"2.771"
"25.03.2019";"11:49:58";"";"23,8200";"185"
"25.03.2019";"11:48:45";"";"23,7900";"460"
"25.03.2019";"10:01:59";"";"23,8000";"1.151"
"25.03.2019";"09:41:41";"";"23,7700";"69"
"25.03.2019";"09:41:39";"";"23,7950";"586"
"25.03.2019";"09:41:39";"";"23,7900";"185"
"25.03.2019";"09:10:23";"";"23,8200";"110"
"25.03.2019";"09:04:28";"";"23,7600";"1.716"
"25.03.2019";"09:04:27";"";"23,7600";"0"
"22.03.2019";"17:36:27";"";"23,8350";"0"
"22.03.2019";"17:21:57";"";"23,8850";"147"
"22.03.2019";"17:20:30";"";"23,8600";"616"
"22.03.2019";"17:20:00";"";"23,8550";"1.453"
"22.03.2019";"17:00:31";"";"23,8900";"4.530"
"22.03.2019";"16:50:46";"";"23,9300";"150"
"22.03.2019";"16:26:21";"";"23,9850";"1.453"
"22.03.2019";"16:19:05";"";"24,0200";"8.933"
"22.03.2019";"16:19:05";"";"24,0200";"15.094"
"22.03.2019";"16:19:05";"";"24,0150";"789"
"22.03.2019";"16:19:05";"";"24,0100";"184"
"22.03.2019";"16:13:44";"";"24,0200";"166"
"22.03.2019";"16:13:44";"";"24,0150";"234"
"22.03.2019";"16:02:16";"";"24,0150";"204"
"22.03.2019";"15:46:47";"";"23,9950";"280"
"22.03.2019";"15:37:07";"";"24,0200";"4"
"22.03.2019";"15:36:05";"";"23,9950";"1"
"22.03.2019";"15:13:38";"";"23,9900";"61"
"22.03.2019";"13:45:41";"";"23,8750";"217"
"22.03.2019";"13:45:41";"";"23,8800";"1.645"
"22.03.2019";"13:42:59";"";"23,8600";"894"
"22.03.2019";"13:42:59";"";"23,8600";"753"
"22.03.2019";"13:42:59";"";"23,8650";"185"
"22.03.2019";"13:22:32";"";"23,9000";"652"
"22.03.2019";"13:22:32";"";"23,8900";"185"
"22.03.2019";"13:18:40";"";"23,9000";"104"
