Datum;Zeit;Eröffnung;Hoch;Tief;Schluss;Volumen
05.03.2019;17:35:00;8,063;8,063;8,063;8,063;2.272.893,00
05.03.2019;17:25:00;8,052;8,066;8,05;8,059;156.578,00
05.03.2019;17:20:00;8,043;8,056;8,037;8,051;126.160,00
05.03.2019;17:15:00;8,044;8,049;8,039;8,042;86.630,00
05.03.2019;17:10:00;8,037;8,05;8,036;8,045;131.243,00
05.03.2019;17:05:00;8,022;8,036;8,022;8,036;79.179,00
05.03.2019;17:00:00;8,01;8,026;8,008;8,023;100.542,00
05.03.2019;16:55:00;8,001;8,011;8;8,009;65.049,00
05.03.2019;16:50:00;7,99;8,005;7,988;7,998;106.036,00
05.03.2019;16:45:00;7,992;7,999;7,987;7,992;99.132,00
05.03.2019;16:40:00;8,02;8,023;7,993;7,995;68.517,00
05.03.2019;16:35:00;8,013;8,024;8,012;8,016;56.741,00
05.03.2019;16:30:00;7,995;8,025;7,992;8,016;148.948,00
05.03.2019;16:25:00;7,989;7,997;7,983;7,995;82.242,00
05.03.2019;16:20:00;7,98;7,993;7,97;7,99;97.546,00
05.03.2019;16:15:00;7,991;7,998;7,974;7,98;167.432,00
05.03.2019;16:10:00;8,001;8,01;7,992;7,992;118.299,00
05.03.2019;16:05:00;8,024;8,027;7,995;8,002;154.596,00
05.03.2019;16:00:00;7,994;8,033;7,994;8,021;169.484,00
05.03.2019;15:55:00;7,994;8,002;7,99;7,994;73.502,00
05.03.2019;15:50:00;8,011;8,016;7,99;7,994;202.988,00
05.03.2019;15:45:00;8,024;8,024;8,004;8,006;68.763,00
05.03.2019;15:40:00;8,045;8,052;8,021;8,021;109.946,00
05.03.2019;15:35:00;8,052;8,063;8,042;8,043;93.460,00
05.03.2019;15:30:00;8,078;8,078;8,052;8,054;73.480,00
05.03.2019;15:25:00;8,056;8,085;8,052;8,075;88.342,00
05.03.2019;15:20:00;8,063;8,065;8,05;8,052;50.017,00
05.03.2019;15:15:00;8,06;8,076;8,056;8,06;74.506,00
05.03.2019;15:10:00;8,052;8,062;8,039;8,061;77.178,00
05.03.2019;15:05:00;8,054;8,066;8,049;8,055;54.413,00
05.03.2019;15:00:00;8,031;8,052;8,031;8,052;51.030,00
05.03.2019;14:55:00;8,043;8,052;8,031;8,031;57.780,00
05.03.2019;14:50:00;8,049;8,056;8,042;8,042;29.586,00
05.03.2019;14:45:00;8,063;8,068;8,049;8,049;38.711,00
05.03.2019;14:40:00;8,043;8,063;8,04;8,059;55.558,00
05.03.2019;14:35:00;8,028;8,042;8,025;8,04;47.602,00
05.03.2019;14:30:00;8,028;8,037;8,016;8,029;76.824,00
05.03.2019;14:25:00;8,043;8,055;8,026;8,026;66.484,00
05.03.2019;14:20:00;8,062;8,063;8,042;8,042;32.011,00
05.03.2019;14:15:00;8,064;8,064;8,052;8,061;46.213,00
05.03.2019;14:10:00;8,052;8,066;8,049;8,063;55.010,00
05.03.2019;14:05:00;8,059;8,059;8,053;8,053;28.160,00
05.03.2019;14:00:00;8,048;8,059;8,046;8,059;45.143,00
05.03.2019;13:55:00;8,062;8,062;8,043;8,049;38.227,00
05.03.2019;13:50:00;8,039;8,064;8,039;8,063;57.256,00
05.03.2019;13:45:00;8,067;8,07;8,04;8,04;75.144,00
05.03.2019;13:40:00;8,077;8,077;8,068;8,069;48.684,00
05.03.2019;13:35:00;8,078;8,079;8,075;8,076;22.319,00
05.03.2019;13:30:00;8,083;8,085;8,077;8,08;52.022,00
05.03.2019;13:25:00;8,065;8,08;8,065;8,08;32.255,00
05.03.2019;13:20:00;8,057;8,072;8,053;8,058;39.808,00
05.03.2019;13:15:00;8,058;8,064;8,049;8,058;54.413,00
05.03.2019;13:10:00;8,058;8,065;8,051;8,063;46.663,00
05.03.2019;13:05:00;8,083;8,083;8,041;8,058;163.814,00
05.03.2019;13:02:00;8,088;8,095;8,086;8,086;34.914,00
05.03.2019;12:55:00;8,093;8,096;8,086;8,089;15.847,00
05.03.2019;12:50:00;8,103;8,108;8,088;8,093;46.857,00
05.03.2019;12:45:00;8,091;8,105;8,085;8,101;60.276,00
05.03.2019;12:40:00;8,101;8,104;8,091;8,092;53.672,00
05.03.2019;12:35:00;8,088;8,1;8,087;8,1;44.807,00
05.03.2019;12:30:00;8,086;8,095;8,082;8,087;101.373,00
05.03.2019;12:25:00;8,083;8,088;8,077;8,085;33.485,00
05.03.2019;12:20:00;8,076;8,088;8,072;8,082;45.727,00
05.03.2019;12:16:00;8,083;8,084;8,071;8,074;44.574,00
05.03.2019;12:10:00;8,072;8,085;8,072;8,08;35.043,00
05.03.2019;12:05:00;8,076;8,081;8,066;8,075;65.004,00
05.03.2019;12:00:00;8,085;8,085;8,071;8,073;56.932,00
05.03.2019;11:55:00;8,076;8,087;8,075;8,087;31.160,00
05.03.2019;11:50:00;8,076;8,088;8,072;8,076;47.983,00
05.03.2019;11:45:00;8,069;8,084;8,066;8,079;67.308,00
05.03.2019;11:40:00;8,063;8,077;8,059;8,066;76.165,00
05.03.2019;11:35:00;8,075;8,081;8,062;8,063;68.504,00
05.03.2019;11:30:00;8,063;8,08;8,056;8,076;118.362,00
05.03.2019;11:25:00;8,071;8,079;8,058;8,06;33.749,00
05.03.2019;11:20:00;8,07;8,074;8,056;8,07;57.173,00
05.03.2019;11:15:00;8,096;8,097;8,069;8,073;58.390,00
05.03.2019;11:10:00;8,118;8,12;8,09;8,094;38.721,00
05.03.2019;11:05:00;8,106;8,129;8,103;8,117;69.968,00
05.03.2019;11:00:00;8,131;8,131;8,103;8,106;53.887,00
05.03.2019;10:55:00;8,087;8,128;8,087;8,128;112.551,00
05.03.2019;10:50:00;8,106;8,106;8,085;8,085;67.765,00
05.03.2019;10:45:00;8,085;8,119;8,081;8,103;65.558,00
05.03.2019;10:40:00;8,113;8,115;8,082;8,086;226.756,00
05.03.2019;10:35:00;8,13;8,13;8,104;8,115;107.646,00
05.03.2019;10:30:00;8,153;8,162;8,129;8,131;118.810,00
05.03.2019;10:25:00;8,169;8,177;8,154;8,154;28.495,00
05.03.2019;10:20:00;8,163;8,17;8,154;8,164;38.828,00
05.03.2019;10:15:00;8,146;8,162;8,145;8,162;31.684,00
05.03.2019;10:10:00;8,17;8,172;8,139;8,142;39.234,00
05.03.2019;10:05:00;8,169;8,18;8,166;8,171;41.094,00
05.03.2019;10:00:00;8,19;8,194;8,169;8,17;52.496,00
05.03.2019;09:55:00;8,2;8,205;8,187;8,194;129.899,00
05.03.2019;09:50:00;8,169;8,211;8,165;8,201;156.187,00
05.03.2019;09:45:00;8,109;8,18;8,109;8,168;88.459,00
05.03.2019;09:40:00;8,131;8,134;8,098;8,115;100.141,00
05.03.2019;09:35:00;8,167;8,17;8,129;8,129;73.880,00
05.03.2019;09:30:00;8,145;8,169;8,145;8,168;105.635,00
05.03.2019;09:25:00;8,136;8,161;8,136;8,149;77.556,00
05.03.2019;09:20:00;8,198;8,198;8,13;8,132;136.708,00
05.03.2019;09:15:00;8,166;8,204;8,145;8,204;172.347,00
05.03.2019;09:10:00;8,114;8,167;8,114;8,16;164.461,00
05.03.2019;09:05:00;8,086;8,158;8,081;8,116;262.181,00
05.03.2019;09:00:00;8,051;8,128;8,021;8,086;559.960,00
