"iShares Developed Markets Property Yield UCITS ETF - USD DIS(WKN: A0LEW8 B�rse: Xetra)"

"Datum";"Zeit";"Er�ffnung";"Hoch";"Tief";"Schluss";"Volumen"
"21.03.2019";"11:12";"23,435";"23,445";"23,435";"23,445";"194,00"
"21.03.2019";"11:06";"23,44";"23,44";"23,44";"23,44";"20,00"
"21.03.2019";"10:59";"23,44";"23,44";"23,44";"23,44";"76,00"
"21.03.2019";"10:42";"23,47";"23,485";"23,47";"23,485";"541,00"
"21.03.2019";"09:25";"23,44";"23,44";"23,44";"23,44";"5.675,00"
"21.03.2019";"09:10";"23,425";"23,425";"23,425";"23,425";"97,00"
"21.03.2019";"09:05";"23,42";"23,42";"23,42";"23,42";"50.005,00"
"21.03.2019";"09:04";"23,415";"23,415";"23,415";"23,415";"150,00"
"20.03.2019";"17:36";"23,445";"23,445";"23,445";"23,445";"0,00"
"20.03.2019";"17:17";"23,46";"23,46";"23,46";"23,46";"188,00"
"20.03.2019";"17:00";"23,43";"23,43";"23,425";"23,425";"1.938,00"
"20.03.2019";"16:24";"23,43";"23,43";"23,43";"23,43";"1.079,00"
"20.03.2019";"16:11";"23,425";"23,425";"23,425";"23,425";"21,00"
"20.03.2019";"15:46";"23,42";"23,425";"23,42";"23,425";"800,00"
"20.03.2019";"15:36";"23,395";"23,395";"23,385";"23,385";"7.371,00"
"20.03.2019";"15:29";"23,42";"23,425";"23,42";"23,425";"950,00"
"20.03.2019";"14:30";"23,50";"23,50";"23,50";"23,50";"10,00"
"20.03.2019";"14:22";"23,505";"23,505";"23,505";"23,505";"560,00"
"20.03.2019";"14:19";"23,52";"23,52";"23,52";"23,52";"170,00"
"20.03.2019";"14:00";"23,505";"23,505";"23,505";"23,505";"603,00"
"20.03.2019";"13:21";"23,525";"23,525";"23,525";"23,525";"136,00"
"20.03.2019";"13:12";"23,51";"23,51";"23,51";"23,51";"0,00"
"20.03.2019";"10:31";"23,55";"23,55";"23,55";"23,55";"187,00"
"20.03.2019";"10:20";"23,565";"23,575";"23,565";"23,57";"1.148,00"
"20.03.2019";"09:23";"23,55";"23,55";"23,55";"23,55";"4,00"
"20.03.2019";"09:04";"23,555";"23,555";"23,555";"23,555";"67,00"
"19.03.2019";"17:36";"23,575";"23,575";"23,575";"23,575";"0,00"
"19.03.2019";"17:19";"23,595";"23,595";"23,595";"23,595";"28,00"
"19.03.2019";"17:11";"23,605";"23,605";"23,605";"23,605";"3,00"
"19.03.2019";"16:32";"23,535";"23,535";"23,535";"23,535";"48,00"
"19.03.2019";"16:05";"23,545";"23,545";"23,545";"23,545";"80,00"
"19.03.2019";"15:01";"23,615";"23,615";"23,61";"23,61";"561,00"
"19.03.2019";"14:30";"23,615";"23,615";"23,60";"23,60";"746,00"
"19.03.2019";"14:01";"23,615";"23,615";"23,615";"23,615";"2,00"
"19.03.2019";"13:47";"23,62";"23,62";"23,62";"23,62";"1,00"
"19.03.2019";"13:41";"23,61";"23,61";"23,61";"23,61";"187,00"
"19.03.2019";"13:30";"23,615";"23,615";"23,61";"23,61";"748,00"
"19.03.2019";"13:28";"23,63";"23,63";"23,63";"23,63";"561,00"
"19.03.2019";"13:12";"23,645";"23,645";"23,645";"23,645";"0,00"
"19.03.2019";"12:36";"23,63";"23,63";"23,63";"23,63";"52,00"
"19.03.2019";"12:20";"23,625";"23,625";"23,625";"23,625";"20,00"
"19.03.2019";"12:18";"23,63";"23,63";"23,63";"23,63";"90,00"
"19.03.2019";"12:07";"23,63";"23,63";"23,63";"23,63";"1.958,00"
"19.03.2019";"11:52";"23,64";"23,64";"23,64";"23,64";"337,00"
"19.03.2019";"11:33";"23,62";"23,62";"23,62";"23,62";"46,00"
"19.03.2019";"09:55";"23,62";"23,62";"23,62";"23,62";"187,00"
"19.03.2019";"09:36";"23,615";"23,615";"23,615";"23,615";"187,00"
"19.03.2019";"09:04";"23,645";"23,645";"23,645";"23,645";"2.500,00"
"18.03.2019";"17:36";"23,555";"23,555";"23,555";"23,555";"0,00"
"18.03.2019";"17:20";"23,555";"23,555";"23,555";"23,555";"1.239,00"
"18.03.2019";"17:15";"23,56";"23,56";"23,54";"23,54";"670,00"
"18.03.2019";"17:08";"23,56";"23,56";"23,56";"23,56";"187,00"
"18.03.2019";"16:50";"23,585";"23,585";"23,58";"23,58";"3.816,00"
"18.03.2019";"16:28";"23,575";"23,575";"23,57";"23,57";"3.819,00"
"18.03.2019";"16:23";"23,615";"23,615";"23,60";"23,60";"4.350,00"
"18.03.2019";"16:05";"23,63";"23,63";"23,63";"23,63";"5.691,00"
"18.03.2019";"15:48";"23,67";"23,67";"23,67";"23,67";"40,00"
"18.03.2019";"15:36";"23,645";"23,645";"23,645";"23,645";"1,00"
"18.03.2019";"14:45";"23,675";"23,675";"23,67";"23,67";"6.604,00"
"18.03.2019";"14:33";"23,63";"23,63";"23,63";"23,63";"1.662,00"
"18.03.2019";"14:22";"23,64";"23,64";"23,635";"23,64";"3.779,00"
"18.03.2019";"13:12";"23,625";"23,625";"23,625";"23,625";"0,00"
"18.03.2019";"13:09";"23,635";"23,635";"23,635";"23,635";"800,00"
"18.03.2019";"12:17";"23,63";"23,63";"23,63";"23,63";"212,00"
"18.03.2019";"12:03";"23,61";"23,61";"23,61";"23,61";"278,00"
"18.03.2019";"11:21";"23,605";"23,605";"23,605";"23,605";"1.897,00"
"18.03.2019";"11:19";"23,62";"23,63";"23,62";"23,63";"1.848,00"
"18.03.2019";"11:13";"23,62";"23,625";"23,62";"23,62";"5.021,00"
"18.03.2019";"10:46";"23,62";"23,62";"23,62";"23,62";"100,00"
"18.03.2019";"10:29";"23,615";"23,63";"23,615";"23,63";"8.500,00"
"18.03.2019";"10:00";"23,605";"23,605";"23,605";"23,605";"171,00"
"18.03.2019";"09:10";"23,625";"23,625";"23,625";"23,625";"200,00"
"18.03.2019";"09:04";"23,645";"23,645";"23,645";"23,645";"1.202,00"
"15.03.2019";"17:36";"23,725";"23,725";"23,725";"23,725";"1.150,00"
"15.03.2019";"17:20";"23,665";"23,665";"23,665";"23,665";"682,00"
"15.03.2019";"17:00";"23,62";"23,62";"23,62";"23,62";"440,00"
"15.03.2019";"16:56";"23,625";"23,63";"23,625";"23,63";"64,00"
"15.03.2019";"16:48";"23,61";"23,61";"23,61";"23,61";"4,00"
"15.03.2019";"16:38";"23,59";"23,59";"23,59";"23,59";"59,00"
