Datum;Zeit;Eröffnung;Hoch;Tief;Schluss;Volumen
07.03.2019;10:05:00;8,094;8,125;8,09;8,122;47.045,00
07.03.2019;10:00:00;8,095;8,096;8,081;8,094;19.778,00
07.03.2019;09:55:00;8,093;8,112;8,091;8,091;64.556,00
07.03.2019;09:50:00;8,065;8,093;8,065;8,09;41.941,00
07.03.2019;09:45:00;8,067;8,069;8,062;8,062;25.971,00
07.03.2019;09:40:00;8,058;8,085;8,058;8,07;59.052,00
07.03.2019;09:35:00;8,062;8,067;8,05;8,06;101.611,00
07.03.2019;09:30:00;8,067;8,07;8,061;8,065;23.693,00
07.03.2019;09:25:00;8,09;8,091;8,067;8,067;59.768,00
07.03.2019;09:20:00;8,075;8,101;8,067;8,094;313.653,00
07.03.2019;09:15:00;8,04;8,094;8,028;8,076;120.217,00
07.03.2019;09:10:00;8,057;8,068;8,015;8,04;119.865,00
07.03.2019;09:05:00;8,115;8,115;8,045;8,057;164.762,00
07.03.2019;09:00:00;8,114;8,15;8,075;8,119;255.553,00
