"iShares Developed Markets Property Yield UCITS ETF - USD DIS(WKN: A0LEW8 B�rse: Xetra)"

"Datum";"Zeit";"Er�ffnung";"Hoch";"Tief";"Schluss";"Volumen"
"14.03.2019";"17:35";"23,69";"23,69";"23,69";"23,69";"0,00"
"14.03.2019";"17:20";"23,71";"23,715";"23,71";"23,715";"1.012,00"
"14.03.2019";"17:14";"23,715";"23,715";"23,715";"23,715";"20,00"
"14.03.2019";"16:59";"23,71";"23,71";"23,71";"23,71";"4,00"
"14.03.2019";"16:15";"23,695";"23,705";"23,695";"23,705";"451,00"
"14.03.2019";"15:36";"23,655";"23,655";"23,655";"23,655";"1,00"
"14.03.2019";"15:30";"23,66";"23,66";"23,66";"23,66";"45,00"
"14.03.2019";"15:03";"23,67";"23,675";"23,655";"23,655";"368,00"
"14.03.2019";"14:52";"23,67";"23,67";"23,67";"23,67";"186,00"
"14.03.2019";"14:34";"23,70";"23,70";"23,70";"23,70";"186,00"
"14.03.2019";"13:12";"23,70";"23,70";"23,70";"23,70";"0,00"
"14.03.2019";"13:04";"23,695";"23,695";"23,695";"23,695";"186,00"
"14.03.2019";"12:35";"23,67";"23,67";"23,67";"23,67";"186,00"
"14.03.2019";"11:44";"23,64";"23,64";"23,64";"23,64";"23,00"
"14.03.2019";"11:05";"23,66";"23,66";"23,66";"23,66";"1.867,00"
"14.03.2019";"11:03";"23,66";"23,66";"23,66";"23,66";"537,00"
"14.03.2019";"10:29";"23,66";"23,66";"23,66";"23,66";"684,00"
"14.03.2019";"09:04";"23,645";"23,645";"23,645";"23,645";"218,00"
"13.03.2019";"17:36";"23,68";"23,68";"23,68";"23,68";"0,00"
"13.03.2019";"17:29";"23,67";"23,67";"23,67";"23,67";"186,00"
"13.03.2019";"17:20";"23,67";"23,67";"23,65";"23,65";"273,00"
"13.03.2019";"17:14";"23,675";"23,675";"23,675";"23,675";"142,00"
"13.03.2019";"16:52";"23,665";"23,665";"23,665";"23,665";"144,00"
"13.03.2019";"16:14";"23,67";"23,67";"23,67";"23,67";"1.660,00"
"13.03.2019";"16:06";"23,68";"23,68";"23,68";"23,68";"45,00"
"13.03.2019";"14:59";"23,66";"23,66";"23,66";"23,66";"42,00"
"13.03.2019";"14:30";"23,62";"23,685";"23,62";"23,68";"9.190,00"
"13.03.2019";"14:21";"23,58";"23,58";"23,58";"23,58";"28,00"
"13.03.2019";"14:18";"23,57";"23,57";"23,57";"23,57";"627,00"
"13.03.2019";"13:12";"23,565";"23,565";"23,565";"23,565";"0,00"
"13.03.2019";"12:47";"23,57";"23,57";"23,57";"23,57";"290,00"
"13.03.2019";"11:48";"23,56";"23,56";"23,56";"23,56";"30,00"
"13.03.2019";"10:25";"23,57";"23,57";"23,57";"23,57";"655,00"
"13.03.2019";"10:20";"23,57";"23,57";"23,57";"23,57";"21,00"
"13.03.2019";"09:21";"23,58";"23,58";"23,58";"23,58";"1,00"
"13.03.2019";"09:19";"23,55";"23,55";"23,55";"23,55";"431,00"
"13.03.2019";"09:04";"23,605";"23,605";"23,605";"23,605";"141,00"
"12.03.2019";"17:36";"23,57";"23,57";"23,57";"23,57";"0,00"
"12.03.2019";"17:20";"23,62";"23,635";"23,62";"23,635";"1.721,00"
"12.03.2019";"17:12";"23,635";"23,635";"23,635";"23,635";"40,00"
"12.03.2019";"16:47";"23,615";"23,615";"23,615";"23,615";"1,00"
"12.03.2019";"16:32";"23,60";"23,605";"23,60";"23,605";"250,00"
"12.03.2019";"16:17";"23,60";"23,60";"23,60";"23,60";"319,00"
"12.03.2019";"15:36";"23,575";"23,575";"23,575";"23,575";"1,00"
"12.03.2019";"15:25";"23,565";"23,57";"23,565";"23,57";"551,00"
"12.03.2019";"15:23";"23,565";"23,565";"23,555";"23,555";"403,00"
"12.03.2019";"15:15";"23,565";"23,59";"23,565";"23,57";"6.407,00"
"12.03.2019";"15:13";"23,585";"23,585";"23,585";"23,585";"187,00"
"12.03.2019";"15:09";"23,565";"23,565";"23,565";"23,565";"187,00"
"12.03.2019";"14:30";"23,53";"23,53";"23,53";"23,53";"10,00"
"12.03.2019";"13:12";"23,545";"23,545";"23,545";"23,545";"0,00"
"12.03.2019";"12:19";"23,555";"23,555";"23,55";"23,55";"222,00"
"12.03.2019";"12:11";"23,55";"23,55";"23,55";"23,55";"327,00"
"12.03.2019";"12:05";"23,515";"23,515";"23,51";"23,515";"7.277,00"
"12.03.2019";"12:04";"23,525";"23,525";"23,525";"23,525";"1.670,00"
"12.03.2019";"11:56";"23,54";"23,54";"23,535";"23,535";"1.637,00"
"12.03.2019";"11:19";"23,545";"23,545";"23,545";"23,545";"46,00"
"12.03.2019";"10:41";"23,56";"23,56";"23,56";"23,56";"187,00"
"12.03.2019";"10:27";"23,545";"23,545";"23,545";"23,545";"92,00"
"12.03.2019";"10:17";"23,545";"23,545";"23,545";"23,545";"177,00"
"12.03.2019";"10:01";"23,52";"23,52";"23,51";"23,51";"784,00"
"12.03.2019";"09:29";"23,54";"23,54";"23,54";"23,54";"365,00"
"12.03.2019";"09:05";"23,545";"23,55";"23,545";"23,55";"2.200,00"
"12.03.2019";"09:04";"23,52";"23,52";"23,52";"23,52";"855,00"
"11.03.2019";"17:36";"23,475";"23,475";"23,475";"23,475";"0,00"
"11.03.2019";"17:20";"23,47";"23,47";"23,47";"23,47";"1.367,00"
"11.03.2019";"17:17";"23,48";"23,48";"23,48";"23,48";"200,00"
"11.03.2019";"17:14";"23,49";"23,49";"23,49";"23,49";"17,00"
"11.03.2019";"17:08";"23,46";"23,46";"23,46";"23,46";"188,00"
"11.03.2019";"16:55";"23,465";"23,465";"23,465";"23,465";"1,00"
"11.03.2019";"16:44";"23,43";"23,43";"23,425";"23,425";"605,00"
"11.03.2019";"16:17";"23,40";"23,40";"23,40";"23,40";"189,00"
"11.03.2019";"15:58";"23,40";"23,40";"23,40";"23,40";"22,00"
"11.03.2019";"15:36";"23,445";"23,445";"23,445";"23,445";"1,00"
"11.03.2019";"15:06";"23,45";"23,46";"23,425";"23,425";"488,00"
"11.03.2019";"15:03";"23,455";"23,46";"23,455";"23,46";"441,00"
"11.03.2019";"14:57";"23,46";"23,46";"23,455";"23,455";"796,00"
"11.03.2019";"14:47";"23,455";"23,465";"23,455";"23,465";"673,00"
"11.03.2019";"14:16";"23,395";"23,40";"23,395";"23,40";"275,00"
"11.03.2019";"13:59";"23,405";"23,405";"23,405";"23,405";"188,00"
"11.03.2019";"13:12";"23,375";"23,375";"23,375";"23,375";"0,00"
"11.03.2019";"11:07";"23,38";"23,385";"23,38";"23,385";"1.869,00"
"11.03.2019";"10:57";"23,375";"23,375";"23,355";"23,355";"151,00"
"11.03.2019";"10:17";"23,365";"23,365";"23,365";"23,365";"120,00"
"11.03.2019";"10:13";"23,365";"23,365";"23,365";"23,365";"210,00"
"11.03.2019";"09:42";"23,36";"23,36";"23,36";"23,36";"609,00"
"11.03.2019";"09:04";"23,40";"23,40";"23,40";"23,40";"146,00"
"08.03.2019";"17:36";"23,29";"23,29";"23,29";"23,29";"0,00"
"08.03.2019";"17:19";"23,335";"23,335";"23,335";"23,335";"96,00"
"08.03.2019";"17:02";"23,315";"23,315";"23,30";"23,30";"1.071,00"
"08.03.2019";"16:40";"23,30";"23,30";"23,30";"23,30";"215,00"
"08.03.2019";"16:13";"23,355";"23,355";"23,355";"23,355";"205,00"
"08.03.2019";"16:02";"23,35";"23,35";"23,35";"23,35";"14,00"
"08.03.2019";"15:35";"23,38";"23,38";"23,38";"23,38";"501,00"
"08.03.2019";"15:33";"23,335";"23,335";"23,335";"23,335";"1.500,00"
"08.03.2019";"15:12";"23,34";"23,35";"23,34";"23,34";"2.387,00"
"08.03.2019";"14:40";"23,345";"23,345";"23,32";"23,32";"107,00"
"08.03.2019";"14:39";"23,345";"23,345";"23,345";"23,345";"663,00"
"08.03.2019";"14:32";"23,325";"23,325";"23,325";"23,325";"284,00"
