"Datum";"Zeit";"Er�ffnung";"Hoch";"Tief";"Schluss";"Volumen"
"22.03.2019";"09:45";"103,60";"103,80";"103,10";"103,10";"12.678,00"
"22.03.2019";"09:40";"103,95";"103,95";"103,55";"103,60";"3.725,00"
"22.03.2019";"09:35";"104,10";"104,10";"103,60";"103,95";"10.276,00"
"22.03.2019";"09:30";"104,20";"104,20";"103,85";"104,05";"6.698,00"
"22.03.2019";"09:25";"104,00";"104,45";"104,00";"104,35";"4.204,00"
"22.03.2019";"09:20";"104,05";"104,20";"103,85";"104,10";"6.919,00"
"22.03.2019";"09:15";"104,15";"104,20";"103,80";"104,15";"6.717,00"
"22.03.2019";"09:10";"104,45";"104,65";"103,90";"104,15";"9.118,00"
"22.03.2019";"09:05";"104,95";"105,20";"103,60";"104,35";"20.521,00"
"22.03.2019";"09:02";"104,25";"105,20";"104,25";"104,90";"27.723,00"
"21.03.2019";"17:35";"101,10";"101,10";"101,10";"101,10";"214.755,00"
"21.03.2019";"17:25";"101,30";"102,00";"101,15";"101,75";"39.246,00"
"21.03.2019";"17:20";"101,20";"101,50";"101,00";"101,30";"39.884,00"
"21.03.2019";"17:15";"101,45";"101,50";"101,05";"101,20";"22.326,00"
"21.03.2019";"17:10";"101,65";"101,70";"101,25";"101,45";"16.210,00"
"21.03.2019";"17:05";"101,80";"101,90";"101,55";"101,70";"14.185,00"
"21.03.2019";"17:00";"101,65";"101,90";"101,60";"101,80";"17.138,00"
"21.03.2019";"16:55";"101,95";"101,95";"101,60";"101,60";"6.716,00"
"21.03.2019";"16:50";"102,00";"102,05";"101,85";"101,85";"10.648,00"
"21.03.2019";"16:45";"101,95";"102,05";"101,70";"101,90";"19.080,00"
"21.03.2019";"16:40";"101,90";"102,05";"101,80";"101,90";"8.871,00"
"21.03.2019";"16:35";"101,85";"102,20";"101,85";"102,00";"13.105,00"
"21.03.2019";"16:30";"102,15";"102,40";"101,80";"101,90";"23.926,00"
"21.03.2019";"16:25";"101,70";"102,45";"101,65";"102,15";"11.435,00"
"21.03.2019";"16:20";"102,45";"102,50";"101,60";"101,60";"25.186,00"
"21.03.2019";"16:15";"102,40";"102,50";"102,30";"102,50";"9.585,00"
"21.03.2019";"16:10";"102,30";"102,45";"102,20";"102,45";"6.533,00"
"21.03.2019";"16:05";"102,15";"102,65";"102,00";"102,45";"10.477,00"
"21.03.2019";"16:00";"102,75";"102,85";"101,80";"102,15";"23.225,00"
"21.03.2019";"15:55";"102,15";"102,85";"102,00";"102,60";"12.108,00"
"21.03.2019";"15:50";"102,00";"102,20";"101,80";"102,00";"11.872,00"
"21.03.2019";"15:45";"101,40";"102,60";"101,15";"102,00";"36.393,00"
"21.03.2019";"15:40";"102,70";"102,70";"101,05";"101,40";"58.201,00"
"21.03.2019";"15:35";"102,20";"103,05";"102,20";"102,60";"10.203,00"
"21.03.2019";"15:30";"103,15";"103,35";"102,10";"102,30";"52.874,00"
