"Datum";"Zeit";"Er�ffnung";"Hoch";"Tief";"Schluss";"Volumen"
"26.03.2019";"09:10";"100,30";"100,55";"100,25";"100,45";"2.113,00"
"26.03.2019";"09:05";"101,20";"101,40";"99,80";"100,40";"16.605,00"
"26.03.2019";"09:00";"101,00";"102,10";"101,00";"101,05";"21.303,00"
"25.03.2019";"17:35";"99,00";"99,00";"99,00";"99,00";"115.728,00"
"25.03.2019";"17:25";"99,18";"99,22";"98,90";"99,20";"58.929,00"
"25.03.2019";"17:20";"99,14";"99,22";"99,10";"99,14";"15.917,00"
"25.03.2019";"17:15";"99,18";"99,26";"99,10";"99,16";"8.055,00"
"25.03.2019";"17:10";"99,28";"99,28";"99,20";"99,20";"5.995,00"
"25.03.2019";"17:05";"99,34";"99,34";"99,18";"99,28";"6.198,00"
"25.03.2019";"17:00";"99,28";"99,36";"99,20";"99,30";"10.017,00"
"25.03.2019";"16:55";"98,98";"99,28";"98,94";"99,22";"8.279,00"
"25.03.2019";"16:50";"99,00";"99,00";"98,80";"98,90";"7.297,00"
"25.03.2019";"16:45";"99,56";"99,56";"98,94";"98,94";"12.261,00"
"25.03.2019";"16:40";"99,52";"99,60";"99,50";"99,50";"2.363,00"
"25.03.2019";"16:35";"99,50";"99,64";"99,42";"99,60";"2.486,00"
"25.03.2019";"16:30";"99,58";"99,86";"99,46";"99,54";"9.364,00"
"25.03.2019";"16:25";"99,64";"99,64";"99,46";"99,54";"2.461,00"
"25.03.2019";"16:20";"99,72";"99,82";"99,48";"99,54";"6.893,00"
"25.03.2019";"16:15";"98,88";"100,00";"98,80";"99,78";"15.283,00"
"25.03.2019";"16:10";"98,90";"98,98";"98,84";"98,88";"3.778,00"
"25.03.2019";"16:05";"99,10";"99,16";"98,80";"98,94";"11.914,00"
"25.03.2019";"16:00";"99,36";"99,36";"99,06";"99,12";"11.532,00"
"25.03.2019";"15:55";"99,80";"99,80";"99,40";"99,42";"3.620,00"
"25.03.2019";"15:50";"99,34";"100,00";"99,28";"99,80";"9.158,00"
"25.03.2019";"15:45";"99,28";"99,60";"99,28";"99,44";"4.268,00"
"25.03.2019";"15:40";"99,38";"99,50";"99,10";"99,24";"11.191,00"
"25.03.2019";"15:35";"99,86";"99,86";"99,40";"99,40";"1.733,00"
"25.03.2019";"15:30";"99,26";"99,88";"99,20";"99,88";"11.776,00"
"25.03.2019";"15:25";"99,94";"99,94";"99,20";"99,26";"9.085,00"
"25.03.2019";"15:20";"99,70";"99,98";"99,70";"99,94";"7.861,00"
"25.03.2019";"15:15";"100,20";"100,20";"99,70";"99,70";"2.907,00"
"25.03.2019";"15:10";"100,30";"100,30";"100,05";"100,25";"4.337,00"
"25.03.2019";"15:05";"100,10";"100,40";"99,82";"100,25";"13.887,00"
"25.03.2019";"15:00";"100,45";"100,45";"100,10";"100,10";"4.232,00"
"25.03.2019";"14:55";"100,55";"100,55";"100,40";"100,40";"6.880,00"
"25.03.2019";"14:50";"100,40";"100,75";"100,40";"100,65";"9.937,00"
"25.03.2019";"14:45";"100,45";"100,45";"100,30";"100,40";"4.512,00"
"25.03.2019";"14:40";"100,75";"100,85";"100,40";"100,45";"17.934,00"
"25.03.2019";"14:35";"100,70";"101,00";"100,70";"100,85";"33.968,00"
"25.03.2019";"14:30";"100,50";"100,70";"100,45";"100,65";"7.480,00"
"25.03.2019";"14:25";"100,45";"100,60";"100,45";"100,55";"2.994,00"
"25.03.2019";"14:20";"100,40";"100,50";"100,40";"100,50";"2.275,00"
"25.03.2019";"14:15";"100,40";"100,45";"100,35";"100,35";"5.268,00"
"25.03.2019";"14:10";"100,65";"100,65";"100,45";"100,45";"1.506,00"
"25.03.2019";"14:05";"100,40";"100,80";"100,35";"100,65";"4.906,00"
"25.03.2019";"14:00";"100,70";"100,70";"100,45";"100,45";"3.516,00"
"25.03.2019";"13:55";"100,55";"100,70";"100,45";"100,60";"3.870,00"
"25.03.2019";"13:51";"100,20";"100,55";"100,20";"100,55";"5.897,00"
"25.03.2019";"13:45";"100,15";"100,25";"100,10";"100,20";"3.083,00"
"25.03.2019";"13:40";"100,50";"100,60";"100,05";"100,15";"2.164,00"
"25.03.2019";"13:35";"100,25";"100,65";"100,20";"100,60";"3.842,00"
"25.03.2019";"13:30";"100,10";"100,25";"99,96";"100,25";"4.407,00"
"25.03.2019";"13:25";"100,35";"100,35";"100,15";"100,25";"2.426,00"
"25.03.2019";"13:20";"99,74";"100,40";"99,74";"100,40";"5.606,00"
"25.03.2019";"13:15";"99,96";"99,96";"99,76";"99,78";"3.922,00"
"25.03.2019";"13:10";"100,10";"100,10";"99,96";"100,05";"4.437,00"
"25.03.2019";"13:05";"100,30";"100,35";"100,00";"100,10";"2.944,00"
"25.03.2019";"13:02";"100,00";"100,50";"99,98";"100,30";"3.875,00"
"25.03.2019";"12:55";"100,50";"100,65";"100,15";"100,15";"5.177,00"
"25.03.2019";"12:50";"100,30";"100,50";"100,15";"100,50";"3.168,00"
"25.03.2019";"12:45";"100,15";"100,65";"100,10";"100,35";"8.259,00"
"25.03.2019";"12:40";"100,10";"100,85";"99,88";"99,98";"10.962,00"
"25.03.2019";"12:35";"99,96";"100,10";"99,92";"100,05";"3.729,00"
"25.03.2019";"12:30";"99,88";"99,96";"99,86";"99,96";"888,00"
"25.03.2019";"12:26";"99,82";"99,90";"99,72";"99,82";"4.084,00"
"25.03.2019";"12:20";"99,76";"99,90";"99,64";"99,82";"2.720,00"
"25.03.2019";"12:15";"99,74";"99,82";"99,62";"99,68";"2.213,00"
"25.03.2019";"12:10";"99,76";"99,78";"99,68";"99,74";"2.041,00"
"25.03.2019";"12:05";"99,44";"99,98";"99,44";"99,70";"5.788,00"
"25.03.2019";"12:00";"99,60";"99,60";"99,30";"99,46";"4.655,00"
"25.03.2019";"11:55";"99,64";"99,70";"99,54";"99,54";"2.766,00"
"25.03.2019";"11:50";"99,64";"99,74";"99,62";"99,70";"7.036,00"
"25.03.2019";"11:45";"99,52";"99,64";"99,52";"99,64";"1.889,00"
"25.03.2019";"11:40";"99,64";"99,72";"99,50";"99,60";"5.200,00"
"25.03.2019";"11:35";"99,66";"99,68";"99,60";"99,60";"1.828,00"
"25.03.2019";"11:30";"99,68";"99,70";"99,60";"99,64";"3.038,00"
"25.03.2019";"11:25";"99,60";"99,80";"99,58";"99,70";"6.157,00"
"25.03.2019";"11:21";"99,42";"99,54";"99,32";"99,54";"4.724,00"
"25.03.2019";"11:15";"99,50";"99,56";"99,08";"99,30";"15.276,00"
"25.03.2019";"11:10";"99,48";"99,76";"99,18";"99,40";"7.414,00"
"25.03.2019";"11:05";"99,10";"99,76";"98,90";"99,52";"10.263,00"
"25.03.2019";"11:00";"99,62";"99,74";"99,10";"99,10";"11.929,00"
"25.03.2019";"10:55";"99,86";"99,88";"99,10";"99,62";"9.076,00"
"25.03.2019";"10:50";"100,25";"100,30";"99,76";"99,84";"8.294,00"
"25.03.2019";"10:45";"100,20";"100,30";"100,10";"100,30";"4.917,00"
"25.03.2019";"10:40";"100,15";"100,15";"99,62";"100,15";"5.125,00"
"25.03.2019";"10:35";"100,10";"100,25";"100,00";"100,05";"2.746,00"
"25.03.2019";"10:30";"100,35";"100,35";"99,94";"99,94";"3.178,00"
"25.03.2019";"10:25";"100,25";"100,40";"99,56";"100,25";"8.107,00"
"25.03.2019";"10:20";"100,30";"100,40";"100,10";"100,10";"4.583,00"
"25.03.2019";"10:15";"100,35";"100,35";"99,30";"100,30";"9.276,00"
"25.03.2019";"10:10";"100,70";"100,75";"100,35";"100,40";"5.401,00"
"25.03.2019";"10:05";"100,45";"100,70";"100,30";"100,55";"5.597,00"
"25.03.2019";"10:00";"100,00";"100,65";"99,72";"100,50";"9.031,00"
"25.03.2019";"09:55";"99,94";"100,25";"99,20";"100,05";"10.641,00"
