"Datum";"Zeit";"Er�ffnung";"Hoch";"Tief";"Schluss";"Volumen"
"13.03.2019";"11:45";"120,60";"121,10";"120,50";"120,90";"8.408,00"
"13.03.2019";"11:40";"120,95";"121,20";"120,50";"120,75";"8.424,00"
"13.03.2019";"11:35";"121,30";"121,65";"120,70";"120,95";"7.727,00"
"13.03.2019";"11:30";"121,10";"121,30";"121,05";"121,30";"2.795,00"
"13.03.2019";"11:25";"120,70";"121,25";"120,35";"121,15";"14.743,00"
"13.03.2019";"11:20";"121,50";"121,55";"120,65";"120,80";"10.711,00"
"13.03.2019";"11:15";"122,05";"122,05";"121,35";"121,50";"3.086,00"
"13.03.2019";"11:10";"121,80";"122,10";"121,65";"122,00";"4.956,00"
"13.03.2019";"11:05";"121,05";"121,80";"120,95";"121,75";"7.673,00"
"13.03.2019";"11:00";"120,95";"121,90";"120,75";"120,85";"10.983,00"
"13.03.2019";"10:55";"121,25";"121,35";"120,05";"120,95";"27.543,00"
"13.03.2019";"10:50";"122,10";"122,10";"121,30";"121,35";"6.829,00"
"13.03.2019";"10:45";"122,75";"122,75";"121,90";"122,10";"16.754,00"
"13.03.2019";"10:40";"122,90";"123,00";"122,80";"122,80";"1.312,00"
"13.03.2019";"10:35";"123,00";"123,00";"122,80";"122,90";"2.701,00"
"13.03.2019";"10:30";"123,30";"123,30";"122,80";"123,10";"8.990,00"
"13.03.2019";"10:25";"123,15";"123,30";"123,05";"123,25";"8.834,00"
"13.03.2019";"10:20";"123,30";"123,30";"123,10";"123,20";"4.612,00"
"13.03.2019";"10:15";"123,20";"123,35";"123,10";"123,30";"6.161,00"
"13.03.2019";"10:10";"122,85";"123,25";"122,85";"123,20";"3.679,00"
"13.03.2019";"10:05";"123,10";"123,20";"122,50";"123,00";"4.931,00"
"13.03.2019";"10:00";"123,10";"123,50";"122,95";"123,10";"10.107,00"
"13.03.2019";"09:55";"123,00";"123,50";"122,55";"123,25";"14.727,00"
"13.03.2019";"09:50";"122,45";"123,25";"122,40";"122,75";"8.657,00"
"13.03.2019";"09:45";"123,25";"123,30";"122,35";"122,55";"12.656,00"
"13.03.2019";"09:40";"122,55";"123,35";"122,30";"123,25";"14.000,00"
"13.03.2019";"09:35";"120,60";"123,25";"120,30";"122,50";"20.310,00"
"13.03.2019";"09:30";"121,25";"121,75";"119,80";"120,80";"37.214,00"
"13.03.2019";"09:25";"123,90";"123,95";"121,10";"121,25";"43.055,00"
"13.03.2019";"09:20";"123,50";"125,40";"123,50";"123,75";"30.746,00"
"13.03.2019";"09:15";"123,50";"124,80";"123,25";"123,70";"39.964,00"
"13.03.2019";"09:10";"120,85";"123,70";"120,65";"123,50";"61.494,00"
"13.03.2019";"09:05";"120,55";"120,90";"119,85";"120,55";"33.721,00"
"13.03.2019";"09:02";"120,55";"120,70";"117,50";"120,60";"143.041,00"
"12.03.2019";"17:35";"127,05";"127,05";"127,05";"127,05";"186.654,00"
"12.03.2019";"17:25";"128,15";"128,20";"127,80";"127,95";"19.624,00"
"12.03.2019";"17:20";"128,00";"128,25";"128,00";"128,15";"8.301,00"
"12.03.2019";"17:15";"128,50";"128,70";"128,00";"128,10";"10.889,00"
"12.03.2019";"17:10";"128,50";"128,60";"128,35";"128,55";"6.438,00"
"12.03.2019";"17:05";"128,25";"128,90";"128,25";"128,45";"5.577,00"
"12.03.2019";"17:00";"128,45";"128,45";"127,85";"128,25";"7.127,00"
"12.03.2019";"16:55";"128,45";"128,60";"128,45";"128,50";"2.924,00"
"12.03.2019";"16:50";"128,45";"128,45";"128,35";"128,45";"2.472,00"
"12.03.2019";"16:45";"128,50";"128,80";"128,25";"128,45";"4.587,00"
"12.03.2019";"16:40";"128,10";"128,60";"128,10";"128,60";"2.286,00"
"12.03.2019";"16:35";"128,15";"128,20";"127,75";"128,05";"8.223,00"
"12.03.2019";"16:30";"128,50";"128,55";"128,15";"128,15";"1.825,00"
"12.03.2019";"16:25";"128,65";"128,75";"128,15";"128,55";"7.443,00"
"12.03.2019";"16:20";"128,35";"128,95";"128,35";"128,65";"7.893,00"
"12.03.2019";"16:15";"128,40";"128,75";"128,20";"128,25";"9.825,00"
"12.03.2019";"16:10";"127,60";"128,50";"127,55";"128,40";"17.555,00"
"12.03.2019";"16:05";"127,60";"127,75";"127,55";"127,65";"3.155,00"
"12.03.2019";"16:00";"127,20";"127,50";"127,20";"127,50";"4.893,00"
"12.03.2019";"15:55";"127,25";"127,85";"127,00";"127,25";"7.981,00"
"12.03.2019";"15:50";"127,95";"128,00";"127,15";"127,25";"6.572,00"
"12.03.2019";"15:45";"128,25";"128,30";"126,95";"127,95";"12.103,00"
"12.03.2019";"15:40";"128,40";"128,50";"128,30";"128,30";"3.852,00"
"12.03.2019";"15:35";"128,35";"128,55";"128,10";"128,55";"10.044,00"
"12.03.2019";"15:30";"128,30";"128,50";"128,00";"128,45";"9.882,00"
"12.03.2019";"15:25";"128,25";"128,40";"128,00";"128,30";"8.702,00"
"12.03.2019";"15:20";"128,10";"128,25";"127,70";"128,25";"3.584,00"
"12.03.2019";"15:15";"127,00";"128,40";"126,95";"128,10";"19.507,00"
"12.03.2019";"15:10";"126,75";"127,50";"126,60";"126,75";"14.604,00"
"12.03.2019";"15:05";"126,00";"126,90";"125,90";"126,75";"9.786,00"
"12.03.2019";"15:00";"126,50";"126,50";"125,65";"125,90";"11.408,00"
"12.03.2019";"14:55";"125,10";"126,70";"125,00";"126,55";"17.017,00"
"12.03.2019";"14:50";"126,00";"126,50";"124,90";"125,00";"17.790,00"
"12.03.2019";"14:45";"124,00";"126,00";"123,75";"125,85";"31.627,00"
"12.03.2019";"14:40";"124,80";"124,85";"123,40";"123,85";"56.907,00"
"12.03.2019";"14:35";"125,10";"125,25";"124,80";"124,90";"22.486,00"
"12.03.2019";"14:30";"125,60";"125,60";"124,85";"125,30";"41.018,00"
"12.03.2019";"14:25";"126,25";"126,30";"125,40";"125,50";"16.626,00"
