"Datum";"Zeit";"Er�ffnung";"Hoch";"Tief";"Schluss";"Volumen"
"06.03.2019";"13:11";"118,35";"118,35";"118,30";"118,35";"60,00"
"06.03.2019";"13:05";"118,20";"118,35";"118,20";"118,25";"1.171,00"
"06.03.2019";"13:00";"118,30";"118,30";"118,15";"118,20";"914,00"
"06.03.2019";"12:56";"118,05";"118,30";"118,05";"118,30";"580,00"
"06.03.2019";"12:50";"118,20";"118,30";"118,00";"118,15";"2.470,00"
"06.03.2019";"12:45";"118,10";"118,35";"118,00";"118,15";"3.266,00"
"06.03.2019";"12:42";"118,20";"118,20";"118,10";"118,10";"844,00"
"06.03.2019";"12:35";"118,20";"118,20";"118,10";"118,15";"1.730,00"
"06.03.2019";"12:30";"118,10";"118,20";"118,10";"118,20";"122,00"
"06.03.2019";"12:25";"118,10";"118,25";"118,00";"118,05";"2.905,00"
"06.03.2019";"12:20";"118,25";"118,25";"118,00";"118,20";"2.366,00"
"06.03.2019";"12:15";"118,35";"118,35";"118,25";"118,35";"588,00"
"06.03.2019";"12:10";"118,10";"118,40";"118,10";"118,30";"2.723,00"
"06.03.2019";"12:05";"117,90";"118,30";"117,90";"118,20";"3.681,00"
"06.03.2019";"12:00";"118,00";"118,00";"117,95";"117,95";"951,00"
"06.03.2019";"11:55";"117,85";"118,00";"117,85";"118,00";"873,00"
"06.03.2019";"11:50";"118,00";"118,60";"117,85";"117,85";"9.847,00"
"06.03.2019";"11:45";"118,00";"118,00";"117,95";"117,95";"1.609,00"
"06.03.2019";"11:40";"118,00";"118,00";"117,90";"117,90";"511,00"
"06.03.2019";"11:35";"118,00";"118,00";"117,90";"118,00";"597,00"
"06.03.2019";"11:30";"117,95";"118,00";"117,90";"117,90";"702,00"
"06.03.2019";"11:25";"118,00";"118,00";"117,95";"117,95";"721,00"
"06.03.2019";"11:20";"118,00";"118,00";"117,85";"118,00";"1.775,00"
"06.03.2019";"11:15";"117,95";"118,00";"117,90";"117,95";"3.844,00"
"06.03.2019";"11:10";"117,95";"118,00";"117,85";"117,95";"1.212,00"
"06.03.2019";"11:05";"117,95";"118,00";"117,85";"118,00";"3.021,00"
"06.03.2019";"11:00";"117,80";"117,95";"117,80";"117,95";"906,00"
"06.03.2019";"10:55";"118,10";"118,10";"117,75";"117,95";"1.785,00"
"06.03.2019";"10:50";"118,10";"118,30";"118,10";"118,15";"1.649,00"
"06.03.2019";"10:45";"118,25";"118,25";"118,15";"118,20";"886,00"
"06.03.2019";"10:40";"118,25";"118,35";"118,25";"118,35";"1.281,00"
"06.03.2019";"10:35";"118,40";"118,40";"118,15";"118,15";"2.221,00"
"06.03.2019";"10:32";"118,45";"118,45";"118,40";"118,40";"767,00"
"06.03.2019";"10:25";"118,25";"118,40";"118,25";"118,30";"543,00"
"06.03.2019";"10:20";"118,50";"118,55";"118,25";"118,30";"2.734,00"
"06.03.2019";"10:15";"118,35";"118,50";"118,25";"118,45";"3.438,00"
"06.03.2019";"10:10";"118,15";"118,45";"118,15";"118,40";"1.632,00"
"06.03.2019";"10:05";"117,95";"118,25";"117,95";"118,15";"1.686,00"
"06.03.2019";"10:00";"118,00";"118,05";"117,95";"117,95";"1.721,00"
"06.03.2019";"09:55";"118,30";"118,40";"118,00";"118,00";"2.915,00"
"06.03.2019";"09:50";"118,25";"118,50";"118,25";"118,35";"1.911,00"
"06.03.2019";"09:45";"118,25";"118,25";"118,10";"118,20";"423,00"
"06.03.2019";"09:42";"117,95";"118,25";"117,95";"118,25";"1.626,00"
"06.03.2019";"09:35";"117,95";"118,05";"117,85";"118,05";"2.181,00"
"06.03.2019";"09:30";"117,90";"118,10";"117,85";"118,00";"2.745,00"
"06.03.2019";"09:25";"118,15";"118,15";"117,85";"117,90";"4.165,00"
"06.03.2019";"09:20";"117,95";"118,55";"117,95";"118,10";"7.093,00"
"06.03.2019";"09:15";"118,05";"118,05";"117,55";"118,00";"7.703,00"
"06.03.2019";"09:10";"118,40";"118,40";"118,00";"118,05";"2.852,00"
"06.03.2019";"09:05";"118,80";"118,80";"117,95";"118,45";"7.847,00"
"06.03.2019";"09:00";"118,80";"118,95";"118,00";"118,80";"21.231,00"
"05.03.2019";"17:35";"119,00";"119,00";"119,00";"119,00";"165.689,00"
"05.03.2019";"17:25";"117,80";"117,95";"117,50";"117,90";"25.946,00"
"05.03.2019";"17:20";"118,15";"118,15";"117,75";"117,90";"9.069,00"
"05.03.2019";"17:15";"117,95";"118,20";"117,80";"118,15";"15.664,00"
"05.03.2019";"17:10";"117,90";"118,00";"117,75";"117,95";"7.992,00"
"05.03.2019";"17:05";"117,60";"117,90";"117,60";"117,85";"10.488,00"
"05.03.2019";"17:00";"117,30";"117,65";"117,20";"117,65";"8.597,00"
"05.03.2019";"16:55";"117,00";"117,40";"116,95";"117,40";"4.829,00"
"05.03.2019";"16:50";"116,90";"117,00";"116,80";"117,00";"4.251,00"
"05.03.2019";"16:45";"116,75";"116,95";"116,70";"116,95";"3.201,00"
"05.03.2019";"16:40";"116,50";"116,75";"116,50";"116,75";"3.962,00"
"05.03.2019";"16:35";"116,45";"116,60";"116,45";"116,55";"4.232,00"
"05.03.2019";"16:30";"116,30";"116,50";"116,30";"116,50";"1.632,00"
"05.03.2019";"16:25";"116,40";"116,40";"116,25";"116,40";"1.407,00"
"05.03.2019";"16:20";"116,25";"116,40";"116,25";"116,30";"1.915,00"
"05.03.2019";"16:15";"116,40";"116,40";"116,25";"116,25";"2.124,00"
"05.03.2019";"16:10";"116,35";"116,45";"116,30";"116,35";"1.693,00"
"05.03.2019";"16:05";"116,30";"116,45";"116,25";"116,35";"2.185,00"
"05.03.2019";"16:00";"116,10";"116,30";"116,10";"116,25";"2.975,00"
"05.03.2019";"15:55";"116,15";"116,20";"116,10";"116,20";"468,00"
"05.03.2019";"15:50";"116,05";"116,15";"116,05";"116,15";"1.729,00"
"05.03.2019";"15:45";"116,15";"116,15";"116,00";"116,10";"2.082,00"
"05.03.2019";"15:40";"116,30";"116,30";"116,10";"116,15";"1.165,00"
"05.03.2019";"15:35";"116,25";"116,45";"116,15";"116,30";"2.128,00"
"05.03.2019";"15:30";"116,30";"116,30";"116,20";"116,25";"1.683,00"
"05.03.2019";"15:25";"116,30";"116,30";"116,20";"116,30";"2.845,00"
"05.03.2019";"15:20";"116,40";"116,45";"116,15";"116,30";"888,00"
"05.03.2019";"15:15";"116,30";"116,45";"116,30";"116,40";"1.654,00"
"05.03.2019";"15:10";"116,25";"116,30";"116,10";"116,30";"1.085,00"
"05.03.2019";"15:05";"115,85";"116,40";"115,85";"116,25";"6.244,00"
"05.03.2019";"15:01";"116,10";"116,10";"115,75";"115,80";"2.515,00"
"05.03.2019";"14:55";"116,10";"116,20";"115,95";"116,10";"2.035,00"
"05.03.2019";"14:50";"115,95";"116,10";"115,90";"116,10";"3.693,00"
"05.03.2019";"14:45";"116,05";"116,05";"115,90";"116,00";"894,00"
"05.03.2019";"14:40";"116,05";"116,10";"115,90";"115,95";"2.017,00"
"05.03.2019";"14:35";"116,45";"116,45";"115,80";"116,05";"3.917,00"
"05.03.2019";"14:30";"116,65";"116,65";"116,15";"116,45";"9.369,00"
"05.03.2019";"14:25";"116,60";"116,70";"116,55";"116,70";"5.911,00"
"05.03.2019";"14:20";"116,60";"116,85";"116,55";"116,55";"2.133,00"
"05.03.2019";"14:15";"116,80";"116,80";"116,65";"116,75";"1.460,00"
"05.03.2019";"14:10";"116,65";"116,85";"116,65";"116,75";"1.598,00"
"05.03.2019";"14:05";"116,15";"117,00";"116,15";"116,80";"9.867,00"
"05.03.2019";"14:00";"115,80";"116,25";"115,80";"116,20";"2.825,00"
"05.03.2019";"13:55";"115,85";"115,85";"115,75";"115,80";"3.810,00"
"05.03.2019";"13:50";"115,80";"115,85";"115,75";"115,85";"5.046,00"
"05.03.2019";"13:45";"115,75";"115,80";"115,65";"115,80";"3.310,00"
"05.03.2019";"13:40";"115,80";"115,80";"115,65";"115,65";"846,00"
"05.03.2019";"13:35";"115,85";"115,85";"115,70";"115,80";"1.495,00"
"05.03.2019";"13:30";"115,90";"115,90";"115,80";"115,85";"1.895,00"
